     50.00   0.022863    0.01369
     80.00   0.013911    0.01451
    110.00   0.009909    0.01551
    140.00   0.007684    0.01670
    170.00   0.006302    0.01807
    200.00   0.005384    0.01961
    230.00   0.004746    0.02132
    259.00   0.004300    0.02310
    278.81   0.004061    0.02440
    298.02   0.003870    0.02574
    316.67   0.003714    0.02710
    335.48   0.003581    0.02852
    353.28   0.003474    0.02995
    370.59   0.003384    0.03143
    387.44   0.003309    0.03294
    403.85   0.003245    0.03450
    419.84   0.003192    0.03611
    435.44   0.003146    0.03778
    450.66   0.003108    0.03951
    465.53   0.003076    0.04131
    480.07   0.003050    0.04318
    494.29   0.003028    0.04515
    508.21   0.003011    0.04720
    521.86   0.002997    0.04936
    535.23   0.002987    0.05163
    548.36   0.002980    0.05403
    561.25   0.002976    0.05656
    573.91   0.002975    0.05924
